k_index,band_index,k_distance,energy_eV,weight
87,3,3.73188462,-0.744147,3.20503474e-01
88,3,3.78449394,-0.844362,3.19688368e-01
89,3,3.83710326,-0.939896,7.13558052e-02
90,3,3.88971258,-1.028758,1.49667784e-01
91,3,3.94232191,-1.109818,9.52388565e-02
92,3,3.99493123,-1.182323,2.33890174e-01
93,3,4.04754055,-1.245711,4.13986620e-01
94,3,4.10014987,-1.299418,2.23790505e-01
95,3,4.15275899,-1.343739,4.83720099e-01
96,3,4.20536831,-1.378237,3.88040160e-01
97,3,4.25797763,-1.402944,4.28171972e-01
98,3,4.31058696,-1.417777,2.71932496e-01
99,3,4.36319628,-1.422833,3.00958160e-02
0,4,0.00000000,2.274995,3.84750168e-07
1,4,0.06074799,2.244732,3.96349864e-01
2,4,0.12149598,2.154349,3.88478325e-01
3,4,0.18224397,2.016423,3.77425741e-01
4,4,0.24299205,1.845019,3.64985856e-01
5,4,0.30373983,1.653898,3.52351327e-01
6,4,0.36448784,1.454130,3.40119341e-01
7,4,0.42523585,1.254906,3.28451267e-01
8,4,0.48598386,1.063070,3.17305082e-01
9,4,0.54673188,0.883751,3.06568784e-01
10,4,0.60747989,0.720924,2.96113985e-01
11,4,0.66822790,0.577793,2.85835467e-01
12,4,0.72897591,0.456413,2.75662055e-01
13,4,0.78972392,0.359191,2.65555666e-01
14,4,0.85047193,0.287551,2.55492336e-01
15,4,0.91121971,0.243231,2.45475092e-01
16,4,0.97196773,0.226879,2.35539776e-01
17,4,1.03271574,0.240200,2.25698518e-01
18,4,1.09346375,0.284534,2.15989685e-01
19,4,1.15421176,0.360751,3.31770336e-04
20,4,1.15421176,0.360751,3.31472479e-04
21,4,1.18458576,0.378034,3.52749414e-02
22,4,1.21495976,0.429218,8.52939896e-02
23,4,1.24533376,0.512893,1.17991886e-01
24,4,1.27570776,0.625517,1.35885822e-01
25,4,1.30608176,0.764456,1.44717214e-01
26,4,1.33645576,0.926614,1.47782378e-01
27,4,1.36682976,1.109305,1.46991706e-01
28,4,1.39720381,1.309518,1.43904609e-01
29,4,1.42757781,1.525288,1.39066885e-01
30,4,1.45795159,1.754526,1.32979641e-01
31,4,1.48832560,1.995871,1.26135217e-01
32,4,1.51869960,2.247569,1.18550925e-01
33,4,1.54907361,2.508368,1.10249181e-01
34,4,1.57944761,2.777064,1.01031425e-01
35,4,1.60982162,3.050460,9.03506969e-02
36,4,1.64019563,3.325448,7.71199966e-02
37,4,1.67056963,3.593549,5.86465055e-02
38,4,1.70094364,3.828788,2.94642531e-02
39,4,1.73131764,3.942405,2.68013173e-02
40,4,1.73131764,3.942405,2.67983594e-02
41,4,1.75279515,3.837369,2.97006654e-02
42,4,1.77427297,3.652729,5.07786643e-02
43,4,1.79575048,3.435041,6.32143078e-02
44,4,1.81722830,3.206234,7.00581089e-02
45,4,1.83870581,2.975236,7.35227770e-02
46,4,1.86018364,2.746290,7.46970993e-02
47,4,1.88166114,2.521870,7.40975586e-02
48,4,1.90313897,2.303456,7.19730209e-02
49,4,1.92461647,2.093182,6.84207972e-02
50,4,1.94609430,1.891880,6.35051817e-02
51,4,1.96757180,1.702051,5.72806232e-02
52,4,1.98904963,1.525161,4.98463457e-02
53,4,2.01052713,1.363358,4.13930023e-02
54,4,2.03200496,1.219159,3.22638357e-02
55,4,2.05348246,1.095297,2.29909439e-02
56,4,2.07496029,0.995251,1.43116364e-02
57,4,2.09643779,0.920814,7.13737264e-03
58,4,2.11791562,0.875006,2.36937511e-03
59,4,2.13939312,0.859611,6.99717696e-04
60,4,2.13939312,0.859611,6.99717709e-04
61,4,2.20382612,1.022667,6.69465479e-04
62,4,2.26825912,1.205036,6.35101100e-04
63,4,2.33269211,1.403751,5.96567607e-04
64,4,2.39712495,1.615620,5.53659438e-04
65,4,2.46155794,1.834222,5.06055048e-04
66,4,2.52599094,2.052884,4.53258748e-04
67,4,2.59042394,2.261745,3.94841283e-04
68,4,2.65485693,2.448497,3.31044374e-04
69,4,2.71928993,2.598664,2.63973390e-04
70,4,2.78372276,2.700806,1.98398793e-04
71,4,2.84815576,2.751308,1.40589479e-04
72,4,2.91258876,2.756410,9.47684852e-05
73,4,2.97702175,2.728260,6.12699663e-05
74,4,3.04145475,2.624919,7.28446439e-01
75,4,3.10588775,2.499518,7.53321696e-01
76,4,3.17032058,2.401936,7.73148266e-01
77,4,3.23475363,2.332191,7.87571189e-01
78,4,3.29918661,2.290323,7.96330763e-01
79,4,3.36361957,2.274995,3.95164468e-07
80,4,3.36361957,2.274995,3.85584474e-07
81,4,3.41622887,2.299708,7.15481474e-02
82,4,3.46883817,2.333157,2.38323940e-05
83,4,3.52144747,2.315336,4.73142592e-05
84,4,3.57405686,2.255115,7.35101773e-05
85,4,3.62666598,2.169645,1.00724278e-04
86,4,3.67927530,2.070163,1.27717455e-04
87,4,3.73188462,1.964771,1.53637367e-04
88,4,3.78449394,1.858751,1.77956034e-04
89,4,3.83710326,1.755657,2.00371264e-04
90,4,3.88971258,1.658128,2.20742816e-04
91,4,3.94232191,1.568001,2.39006090e-04
92,4,3.99493123,1.486340,2.55138812e-04
93,4,4.04754055,1.414128,2.69121291e-04
94,4,4.10014987,1.352965,2.80977225e-04
95,4,4.15275899,1.302102,2.90672872e-04
96,4,4.20536831,1.262291,2.98219113e-04
97,4,4.25797763,1.233807,3.03614011e-04
98,4,4.31058696,1.216620,3.06853246e-04
99,4,4.36319628,1.210881,3.07933152e-04
0,5,0.00000000,2.274995,4.32543922e-01
1,5,0.06074799,2.344461,1.95725634e-01
2,5,0.12149598,2.532908,1.84980514e-01
3,5,0.18224397,2.809689,1.72809998e-01
4,5,0.24299205,3.146167,1.61591305e-01
5,5,0.30373983,3.523605,1.51782437e-01
6,5,0.36448784,3.928399,1.43189308e-01
7,5,0.42523585,3.766002,8.43034727e-02
8,5,0.48598386,3.391923,1.01369837e-01
9,5,0.54673188,2.987801,1.14001572e-01
10,5,0.60747989,2.587837,1.24598769e-01
11,5,0.66822790,2.207108,1.34210370e-01
12,5,0.72897591,1.854986,1.43352145e-01
13,5,0.78972392,1.536719,1.52240931e-01
14,5,0.85047193,1.252390,1.61056014e-01
15,5,0.91121971,1.003715,1.69883813e-01
16,5,0.97196773,0.790614,1.78794970e-01
17,5,1.03271574,0.612883,1.87841230e-01
18,5,1.09346375,0.469881,1.97050527e-01
19,5,1.15421176,0.360751,4.12537711e-01
20,5,1.15421176,0.360751,4.12538009e-01
21,5,1.18458576,0.378034,3.75248775e-01
22,5,1.21495976,0.429218,3.18448802e-01
23,5,1.24533376,0.512893,2.75204074e-01
24,5,1.27570776,0.625517,2.43929329e-01
25,5,1.30608176,0.764456,2.19780056e-01
26,5,1.33645576,0.926614,2.00235308e-01
27,5,1.36682976,1.109305,1.83965156e-01
28,5,1.39720381,1.309518,1.69813396e-01
29,5,1.42757781,1.525288,1.57477323e-01
30,5,1.45795159,1.754526,1.46572706e-01
31,5,1.48832560,1.995871,1.36646619e-01
32,5,1.51869960,2.247569,1.27612004e-01
33,5,1.54907361,2.508368,1.19323009e-01
34,5,1.57944761,2.777064,1.11657461e-01
35,5,1.60982162,3.050460,1.04640736e-01
36,5,1.64019563,3.325448,9.81177088e-02
37,5,1.67056963,3.593549,9.18489964e-02
38,5,1.70094364,3.828788,8.40629645e-02
39,5,1.73131764,3.942405,3.85844914e-02
40,5,1.73131764,3.942405,3.85874536e-02
41,5,1.75279515,3.977453,4.30320994e-02
42,5,1.77427297,3.993789,2.97617527e-02
43,5,1.79575048,3.995050,2.02275935e-02
44,5,1.81722830,3.987634,1.38381027e-02
45,5,1.83870581,3.974346,9.59164844e-03
46,5,1.86018364,3.957735,6.74508117e-03
47,5,1.88166114,3.939508,4.80117120e-03
48,5,1.90313897,3.920883,3.44767480e-03
49,5,1.92461647,3.902477,2.48196422e-03
50,5,1.94609430,3.884730,1.78610564e-03
51,5,1.96757180,3.868368,1.27110233e-03
52,5,1.98904963,3.853489,8.88780836e-04
53,5,2.01052713,3.839893,5.98711505e-04
54,5,2.03200496,3.828516,3.87700652e-04
55,5,2.05348246,3.819082,2.33000761e-04
56,5,2.07496029,3.811827,1.22814339e-04
57,5,2.09643779,3.806493,5.05378407e-05
58,5,2.11791562,3.803278,1.06071655e-05
59,5,2.13939312,3.802232,3.03418203e-07
60,5,2.13939312,3.802232,3.03416588e-07
61,5,2.20382612,4.605246,9.48292861e-07
